k,r,y,u,v
0,1.0,0.001257302210933933,0.3198742697789066,0.0
1,1.0,0.15962192802528744,0.4479812285979793,0.0
2,1.0,0.35809238322365244,0.4857823145467255,0.0
3,1.0,0.5304140650238152,0.48556063504364505,0.0
4,1.0,0.6617548758092635,0.47232679818871404,0.0
5,1.0,0.7691832502908627,0.45562873415583516,0.0
6,1.0,0.8562009677619091,0.43941283359393507,0.0
7,1.0,0.9141380006377874,0.42632197505349223,0.0
8,1.0,0.9374340356789062,0.41810148520618107,0.0
9,1.0,0.9463437564357551,0.41351129269920617,0.0
10,1.0,0.9575979068728337,0.41032029102735956,0.0
11,1.0,0.9716517308054192,0.40747895788177,0.0
12,1.0,0.9578105558388321,0.40758447546291343,0.0
13,1.0,0.967852765763197,0.4066277373819915,0.0
14,1.0,0.9651369718290227,0.40646878463899405,0.0
15,1.0,0.9680212962356807,0.4061088234639794,0.0
16,1.0,0.9720288588919612,0.40554608466959474,0.0
17,1.0,0.9772331278846749,0.4047724253128503,0.0
18,1.0,0.9882890203279064,0.40331868935799214,0.0
19,1.0,1.002715694635748,0.4012218407475219,0.0
20,1.0,1.001498129452919,0.4004000153910931,0.0
21,1.0,1.0150631459633788,0.3986736923296542,0.0
22,1.0,1.004735416200664,0.39892961992827813,0.0
23,1.0,1.0067682436256007,0.3988415046051652,0.0
24,1.0,1.0138700490195813,0.3980916721703664,0.0
25,1.0,1.0110819982784571,0.39803305264881933,0.0
26,1.0,1.0004471324536373,0.39907016044660515,0.0
27,1.0,0.9906755324236283,0.40051401895860966,0.0
28,1.0,0.988220177161534,0.40140929081522114,0.0
29,1.0,0.9934827383715382,0.40128590702969585,0.0
30,1.0,0.9853329623766912,0.4020453619256942,0.0
31,1.0,0.987197295115483,0.40220068335501424,0.0
32,1.0,0.9892659276707488,0.40206371474268165,0.0
33,1.0,0.997853055354798,0.4011433660987271,0.0
34,1.0,1.0010007185582654,0.40041444288860084,0.0
35,1.0,1.004561523381312,0.39973034696173937,0.0
36,1.0,0.9969761060917359,0.4001810455236093,0.0
37,1.0,0.9963752712982656,0.4004439433557978,0.0
38,1.0,1.0051619434171248,0.39968358016839667,0.0
39,1.0,1.018905656270106,0.39796704544876804,0.0
40,1.0,1.0015173924194276,0.398933431210003,0.0
41,1.0,1.0158198672879342,0.3979380573157081,0.0
42,1.0,1.0250836767260245,0.3965637581194663,0.0
43,1.0,1.0261619344475572,0.3958374977090043,0.0
44,1.0,1.021492852715841,0.395977588697468,0.0
45,1.0,1.0120438483760426,0.39698553007625653,0.0
46,1.0,1.022708050574332,0.3963726834768824,0.0
47,1.0,1.0359553653624065,0.3947721710283566,0.0
48,1.0,1.0441667265027648,0.39323080431248414,0.0
49,1.0,1.0450998210057976,0.39244387984003826,0.0
50,1.0,1.0358756008312469,0.3930121858448927,0.0
51,1.0,1.0131233872646221,0.39554314490373965,0.0
52,1.0,1.0082257409323667,0.3971718411134463,0.0
53,1.0,1.0117312626533799,0.39755420223571303,0.0
54,1.0,0.9952784966030649,0.3993715413457646,0.0
55,1.0,0.9998597885571543,0.3997312147498788,0.0
56,1.0,1.004052075168885,0.3994738391205571,0.0
57,1.0,1.0099390069350154,0.3987693269107493,0.0
58,1.0,0.9954946893358151,0.3998967281762558,0.0
59,1.0,0.9897270898363897,0.4009808186956763,0.0
60,1.0,0.9879077287455177,0.4016505955385027,0.0
61,1.0,0.9794534616879369,0.4027974218235327,0.0
62,1.0,1.0023551590334172,0.40102332391724815,0.0
63,1.0,0.9974366819009364,0.4007168275726682,0.0
64,1.0,1.0015974556016853,0.4001628268475323,0.0
65,1.0,0.9987736524503753,0.40019590683635214,0.0
66,1.0,1.0149516041664977,0.39859299765970885,0.0
67,1.0,1.024461392033871,0.39692070974348204,0.0
68,1.0,1.024362994727087,0.39617801991185836,0.0
69,1.0,0.9955443069311323,0.39872567826722316,0.0
70,1.0,0.9963185744211163,0.399794697778139,0.0
71,1.0,1.0037890703337278,0.39952870696678994,0.0
72,1.0,1.012835225508799,0.3985043955841757,0.0
73,1.0,1.003341307752051,0.39899284723767414,0.0
74,1.0,1.020389583453761,0.3975078229115774,0.0
75,1.0,1.0018612685186647,0.3986923934583435,0.0
76,1.0,0.9942199313259514,0.3999895839236596,0.0
77,1.0,1.0047212369037313,0.39952318907527384,0.0
78,1.0,1.004029130198875,0.3993825220639859,0.0
79,1.0,1.0229384910275456,0.39742828582603923,0.0
80,1.0,1.2189501276601808,0.37694771585569975,0.2
81,1.0,1.3573020191540723,0.3538962702196579,0.2
82,1.0,1.4590141153807588,0.3333519100607705,0.2
83,1.0,1.5229757861588002,0.317710780911467,0.2
84,1.0,1.5644592177189076,0.3065239296382697,0.2
85,1.0,1.6111334539019433,0.2968224229470274,0.2
86,1.0,1.6431296327191964,0.28925712705424295,0.2
87,1.0,1.6720778578968898,0.2829579213847207,0.2
88,1.0,1.671595189097273,0.28017154571339736,0.2
89,1.0,1.6942529986589538,0.27665189570513377,0.2
90,1.0,1.6908544697016432,0.27540790609714616,0.2
91,1.0,1.7061316115983336,0.27332039658388274,0.2
92,1.0,1.6972376290987825,0.2732704155528693,0.2
93,1.0,1.6870704781320378,0.2742646391855877,0.2
94,1.0,1.6892865558140109,0.27449043205211365,0.2
95,1.0,1.6989889915259604,0.27362179527085545,0.2
96,1.0,1.6976121866233496,0.2733685892095503,0.2
97,1.0,1.6889187556622214,0.2741239895780758,0.2
98,1.0,1.6747848021780485,0.2758773150923296,0.2
99,1.0,1.6637512971394295,0.2777696620776057,0.2
100,1.0,1.6749126972490953,0.2775050782100133,0.2
101,1.0,1.688579827237141,0.2760193024707922,0.2
102,1.0,1.687230567098856,0.2754856294019712,0.2
103,1.0,1.6767836197977863,0.2762901712511087,0.2
104,1.0,1.6883024029900007,0.27550033676399915,0.2
105,1.0,1.6755881513268545,0.27641633641111446,0.2
106,1.0,1.671548008316448,0.277232550553357,0.2
107,1.0,1.682064860465238,0.27654816170248714,0.2
108,1.0,1.661424557487688,0.2783042170173507,0.2
109,1.0,1.6721554504744889,0.27802135261035926,0.2
110,1.0,1.6709186283206758,0.27801774584259437,0.2
111,1.0,1.6768365725526162,0.2774243283739061,0.2
112,1.0,1.6794244069668378,0.27689850707157426,0.2
113,1.0,1.6840099230596972,0.276203335876239,0.2
114,1.0,1.6922513257529475,0.2750663685690131,0.2
115,1.0,1.6837505473778807,0.27540481111826814,0.2
116,1.0,1.698912663684558,0.27404089863476516,0.2
117,1.0,1.7034115181545066,0.27297725257019395,0.2
118,1.0,1.707655167431735,0.2720742469134141,0.2
119,1.0,1.7138098972132056,0.2710524213897161,0.2
120,1.0,1.7144500106824814,0.2705285885571244,0.2
121,1.0,1.7152650896303332,0.270211355887673,0.2
122,1.0,1.708073685755532,0.27078774157389995,0.2
123,1.0,1.6875850808814785,0.27309597562010746,0.2
124,1.0,1.6852656015148664,0.274366628877562,0.2
125,1.0,1.6777006492489073,0.2756949180700125,0.2
126,1.0,1.6657805607489782,0.27748465705660813,0.2
127,1.0,1.6739513050366166,0.2774729651718123,0.2
128,1.0,1.672212032073723,0.2776416311199435,0.2
129,1.0,1.666292396838836,0.2783094943200913,0.2
130,1.0,1.6617586538303988,0.2790634070610015,0.2
131,1.0,1.671622797391909,0.2784162534382601,0.2
132,1.0,1.6800930841243609,0.2772780056347813,0.2
133,1.0,1.695938044814548,0.27518129805419705,0.2
134,1.0,1.694201938193496,0.27441139030503936,0.2
135,1.0,1.7029856432994448,0.27318656130732355,0.2
136,1.0,1.713004443560943,0.2716335082322016,0.2
137,1.0,1.7177219653263522,0.2704628821718558,0.2
138,1.0,1.68575597428424,0.27313269954891145,0.2
139,1.0,1.697457966393882,0.27316391815762225,0.2
140,1.0,1.6979445322764033,0.27312930994329,0.2
141,1.0,1.699157994321301,0.2729923900423507,0.2
142,1.0,1.6995348646555788,0.27289308905350024,0.2
143,1.0,1.6999020078539209,0.2728116892886833,0.2
144,1.0,1.6995215931300023,0.2728131008669076,0.2
145,1.0,1.6924346918520694,0.2735224262049018,0.2
146,1.0,1.6716926136003465,0.2759158304321715,0.2
147,1.0,1.6742228588172887,0.27673983781274863,0.2
148,1.0,1.6697108874749986,0.2775618382682373,0.2
149,1.0,1.6853512632394967,0.27636770089675744,0.2
150,1.0,1.6835771959800225,0.27600774580553894,0.2
151,1.0,1.6857003832478576,0.27563344728770706,0.2
152,1.0,1.6778809706860383,0.27624695421086465,0.2
153,1.0,1.6753220289752817,0.27677892649736124,0.2
154,1.0,1.6785317558120403,0.27669734134260887,0.2
155,1.0,1.6663203234783015,0.2778817712563441,0.2
156,1.0,1.6750039955537595,0.27754639750997917,0.2
157,1.0,1.6777156726635196,0.27712431161313894,0.2
158,1.0,1.668877495887333,0.27781819063717955,0.2
159,1.0,1.6500287633744786,0.28001530944928327,0.2
160,1.0,1.6651611867630276,0.279490770575875,0.2
161,1.0,1.6688984943089265,0.2788809973282514,0.2
162,1.0,1.6692592099790855,0.2785705277998049,0.2
163,1.0,1.6723310855846416,0.2781236289514483,0.2
164,1.0,1.6950914423522492,0.27564648879292714,0.2
165,1.0,1.6933983885876667,0.27470108109805086,0.2
166,1.0,1.6929354440490445,0.27432194208921873,0.2
167,1.0,1.676638597587091,0.27578101418143963,0.2
168,1.0,1.6956747758239539,0.27453397879925273,0.2
169,1.0,1.7029816898932326,0.27324212147034077,0.2
170,1.0,1.7096757613198084,0.27199137852967287,0.2
171,1.0,1.7042130256328,0.2719748177750731,0.2
172,1.0,1.7085243772820227,0.27153623027058094,0.2
173,1.0,1.7062970853118529,0.2715615950905765,0.2
174,1.0,1.7069503565733608,0.27150768213342363,0.2
175,1.0,1.6997921967413177,0.27219923728590917,0.2
176,1.0,1.6811944965555892,0.2743702071231005,0.2
177,1.0,1.6924292442840534,0.27422366877699017,0.2
178,1.0,1.671705633449641,0.27623008760468176,0.2
179,1.0,1.6730801838494735,0.27699552103715974,0.2
180,1.0,1.6749166827141622,0.27715631619530595,0.2
181,1.0,1.6680829028591377,0.2779120520019742,0.2
182,1.0,1.6795535796516632,0.2771050654357224,0.2
183,1.0,1.6801920994250963,0.27667806950356577,0.2
184,1.0,1.6781240310358871,0.2766927281730162,0.2
185,1.0,1.6860440062249942,0.2759073270553582,0.2
186,1.0,1.6820230781020904,0.2759559893647025,0.2
187,1.0,1.697486256912407,0.2744315695228758,0.2
188,1.0,1.6987193410532369,0.2736222721799707,0.2
189,1.0,1.6910432790642305,0.2740256945745641,0.2
190,1.0,1.6704048207788111,0.276271080480673,0.2
191,1.0,1.6613818648943741,0.27818379972686574,0.2
192,1.0,1.679065699626616,0.2772761399144283,0.2
193,1.0,1.6813845890273937,0.27663580405875365,0.2
194,1.0,1.6805943225944966,0.2764266795669898,0.2
195,1.0,1.6991213140015191,0.27447987440499383,0.2
196,1.0,1.6837104959629734,0.2751448938859502,0.2
197,1.0,1.6786842657149403,0.2759467756771839,0.2
198,1.0,1.6761949236429594,0.27655655669043716,0.2
199,1.0,1.6850975900748995,0.27594069150320705,0.2
